ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,NightsperWINDOW,NumofWINDOW,OBSperiod,WINDOWwidth,dataLOSSfrac
1018.0,34181.0,3731.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1019.0,34181.0,3731.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1020.0,18147.0,54499.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1021.0,18147.0,54499.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1022.0,18532.0,63045.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1023.0,18532.0,63045.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1024.0,73689.0,68375.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1025.0,73689.0,68375.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1026.0,13141.0,48641.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1027.0,13141.0,48641.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1028.0,11462.0,879.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1029.0,11462.0,879.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1030.0,6761.0,21068.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1031.0,6761.0,21068.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1032.0,75925.0,45889.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1033.0,75925.0,45889.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1034.0,25601.0,58348.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1035.0,25601.0,58348.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1036.0,7271.0,63841.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1037.0,7271.0,63841.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1038.0,14198.0,25495.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
1039.0,14198.0,25495.0,0.15,0.015,0.0027397260273972603,-1.0,-2.0,10.0,20,8,6,60,0.2
1040.0,30218.0,23943.0,0.15,0.015,0.0027397260273972603,0.0,-2.0,10.0,20,8,6,60,0.2
