ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,NightsperWINDOW,NumofWINDOW,OBSperiod,WINDOWwidth,dataLOSSfrac,DRW_log_Z_mean,DRWsine_log_Z_mean,CARMA21_log_Z_mean,DRW_bf,DRWsine_bf,CARMA21sine_log_Z_mean,OBPL10_log_Z_mean,OBPLsine10_log_Z_mean,OBPL10_bf,OBPLsine10_bf
1064.0,87958.0,75159.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,236.47741719681383,232.58945354929602,236.1617330724025,1.0608805804955386,0.9322975840502209,233.70567655980457,237.27158493245926,234.65389194512449,1.7509743804179962,5.961553478100122
1065.0,63806.0,98973.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,249.44772614937202,245.68445430097174,249.81500897590752,0.8075219863058541,0.6712558171072621,246.68881768989925,250.0128186008017,246.93514616568382,1.1612525266685594,1.9585477721549087
1066.0,90476.0,60835.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,244.48933504651853,240.6268028821377,244.42109268274294,0.825733084320374,0.7192411830662933,241.5942506005734,243.11950236246707,241.2154001213988,0.766685336065013,1.0137283558450936
1067.0,31495.0,26510.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,237.27374250628725,233.14100005838534,238.56894312193873,0.6699057374935435,0.5891505679196125,233.630610538605,239.4051033603934,234.35522902294434,2.4781484623659655,2.056056930028719
1068.0,48140.0,10896.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,247.1713681401317,243.15464546334763,247.5248913541677,0.76360735271664,0.6846263937310045,245.08187322845984,247.33427780886527,245.09141386386122,0.8245345766890245,3.036558740414532
1069.0,34180.0,45528.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,238.50758394971206,235.564256947493,238.37255565854488,0.9485037504517346,0.8263061870113075,236.0968140707189,239.31413819127218,236.39186206063772,1.140320464949748,2.829758622845388
1070.0,21882.0,65612.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,241.7272451170084,237.49118139700272,241.97777793474876,0.553596918988111,0.4945101327297909,239.0730489725365,243.3182934896342,238.85867376377144,0.6410647066175331,1.1339084461641982
1071.0,46207.0,9165.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,245.83879129527423,241.80478075218917,247.2515662991471,0.5651295046368464,0.5078342520181991,243.93360057437906,248.29180625841067,244.7362430245011,1.0647043924387436,1.9955030193922172
1072.0,5843.0,10497.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,247.97195763460167,243.6562332968405,251.1209335041121,0.8192110056738742,0.725479749955314,247.22116867284657,251.82620423643453,249.0676854358913,1.0644059119659026,7.347186461258543
1073.0,61502.0,14555.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,217.51953179317024,213.55780945328482,216.7764511799117,1.398224459265665,1.135321706828557,214.65623434508365,216.73908564744104,212.9694601915244,0.6288316241069891,1.176691552071566
1074.0,7412.0,57809.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,238.16144973425014,234.45121414616145,239.60291070602838,0.7380480837961673,0.5541141307860695,238.92039917956947,239.68838184982107,236.4773950608254,1.326055405097749,0.9636024772857896
1075.0,27657.0,3509.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,237.10630339825974,232.54245357218136,238.9310012266297,0.9058180064365804,0.803519130734352,234.33976831431593,240.71404844311851,235.56403386317848,1.2239927582903796,1.4752287015338204
1076.0,93117.0,82593.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,230.3802440236766,225.96734424928172,234.25440579103818,0.6743622394905685,0.5586699986094376,229.71175830627644,234.5428291071803,229.47191716169985,1.1953571406261725,1.687395386249002
1077.0,92993.0,46820.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,218.02259864322363,213.703563985933,220.08775344134634,1.1583237878464505,0.9847165597925104,215.76060088360356,220.42798699932706,216.19959453527875,0.8864271933837444,1.7641580604258582
1078.0,81485.0,99907.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,213.23662159891563,208.57925881157286,218.3357638869367,1.097471937807133,0.9813823201040064,213.050130516965,218.71065799917614,214.0153076011774,1.8294260229381625,10.651738058873846
1079.0,94881.0,71280.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,233.40181319687784,228.85648247019327,237.37039673791892,0.7731880008235681,0.6827326992122859,233.61702328244382,236.71593281983274,232.8643267693326,1.5131406900384,4.664488363106782
1080.0,19419.0,90741.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,236.01887758577206,231.94858186146413,238.68262996684476,0.9224736741435771,0.7738858171250032,234.4631570906888,244.09053428915973,239.9309525217292,3.976322389329124,4.449841723117731
1081.0,66312.0,18037.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,238.6145548598383,234.31392683734362,240.08700375156928,0.8643546239458765,0.8061505814646799,236.53426983301972,241.46914829978624,238.19531247525094,2.678315520991953,6.637785078911717
1082.0,93066.0,56410.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,251.6418730326818,246.99702726624454,253.9764602510852,0.7671274626513652,0.657995305526118,250.5549889656646,254.94187132040878,250.87048469796557,1.3525168996735542,2.040635238707422
1083.0,86566.0,47469.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,257.593522568581,253.21340001871204,257.5613136358429,0.5149449545310328,0.47661720365883675,254.0039261828596,259.4268613042615,255.69215662283602,2.354752237728041,2.12774128572586
1084.0,6399.0,70309.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,241.02169474379474,237.2156070638231,241.84041037837085,0.7691670375720366,0.5488072111791366,239.23274152007832,243.25587180500185,240.038935906793,1.2626540048715174,0.9793302714510824
1085.0,21079.0,39854.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,225.22116832556256,220.83856523902844,226.6986997830493,1.0529446141203809,0.8778800962425403,223.85655259443075,227.659538042795,223.0394498174391,2.6337397688470157,3.0941103232523774
1086.0,84020.0,5517.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,241.74045484632268,237.2590850163557,243.52443292031083,0.6962268544840717,0.6223081883697219,238.75647048292785,245.3235216368617,240.58196854346997,2.46488936766673,2.424674830195955
1087.0,62053.0,70083.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,237.7280132197591,233.8917745334399,238.2270066358588,0.5442276060627889,0.4816829353723631,234.50941208770357,239.21830207883846,235.65320201657693,0.8483139488054502,1.5959656516817387
1088.0,65145.0,74554.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,257.8209117555146,253.43177404254047,260.65172561656135,0.5867196948897143,0.4764483833532194,255.73053997173912,263.84978558398154,258.74951992709225,2.564058073698442,2.59108570529786
1089.0,48118.0,32374.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,256.907556620627,252.05518623102682,260.64654434531707,0.3585396250393592,0.36208257711610764,255.261790318365,262.2670484633816,256.60553153513956,1.50326117996763,1.8858463913012764
1090.0,48200.0,3975.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,266.1778656711885,261.87313099725276,266.3019429503746,0.49764401763191474,0.44672159802715605,262.8610511404453,265.6248690507965,262.38116024956463,0.6722713479761013,1.5269074088566956
1091.0,28857.0,25751.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,236.01680836365531,231.21965169392394,242.69142055924266,0.6944138286337622,0.5979642199497062,235.701490445173,246.46920554607166,239.1954560602869,7.689772321989143,6.728670717897507
1092.0,97324.0,71405.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,237.91395130289604,234.1706416214587,239.26180888306172,0.7625669881398826,0.5825282295337372,236.77786178908852,238.98011284963417,235.12796245799979,1.099323151221934,1.2266723722007613
1093.0,26583.0,97769.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1094.0,99714.0,82533.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,226.55718918795364,223.7484959322729,228.33759958428965,0.9290796086982458,0.6938255902297795,224.9394964638911,230.56219808165886,226.16202746559736,1.3731374626167647,2.0954392912136113
1095.0,98451.0,96926.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,256.19158836734096,251.51425503462667,259.1908422089803,0.44067101403345277,0.436254858900756,255.28909731707284,262.31500883957233,258.24464540010297,3.052982114649123,6.1559661711741755
