ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,period,A1,NightsperWINDOW,OBSperiod,WINDOWwidth,dataLOSSfrac,NumofWINDOW,DRW_log_Z_mean,DRWsine_log_Z_mean,CARMA21_log_Z_mean,CARMA21sine_log_Z_mean,OBPL10_log_Z_mean,OBPLsine10_log_Z_mean,DRW_bf,DRWsine_bf,OBPL10_bf,OBPLsine10_bf
1011.0,55112.0,50245.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.3,20,3,30,0.2,12,463.7924145320809,463.6012954322144,465.46557329182485,465.0823825409703,466.61097738898343,463.34177295609334,0,0,0,0
1012.0,45289.0,88058.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.015,20,3,30,0.2,12,462.0947484169041,458.39331464972054,463.6390474061906,459.72163989433767,465.6128277857615,461.6301255019257,0,0,0,0
1013.0,45289.0,88058.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.072,20,3,30,0.2,12,462.0510811635897,458.269412618357,463.306544851121,459.7343084831516,464.97859561016656,461.1441855254378,0,0,0,0
1014.0,45289.0,88058.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.129,20,3,30,0.2,12,460.99296871482755,456.9309526368383,462.1262376710992,458.4291968177029,463.8297653028766,460.2608632288093,0,0,0,0
1015.0,45289.0,88058.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.186,20,3,30,0.2,12,459.24114482253486,455.1487528878384,460.5171214771581,456.4439905528719,462.07509533009573,458.2406122927563,0,0,0,0
1016.0,45289.0,88058.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.243,20,3,30,0.2,12,456.66658507951513,452.9237599819132,458.57193823378736,454.4689096505382,459.63438690020575,456.0458114014503,0,0,0,0
1017.0,45289.0,88058.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.3,20,3,30,0.2,12,453.93408733330347,451.0541730097141,456.168450672305,452.70243053985394,457.2369557543126,453.7442845327823,0,0,0,0
1018.0,27294.0,77465.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.015,20,3,30,0.2,12,484.0492888756377,481.904091628028,484.20177372946785,480.31555659742503,483.8528430977036,481.4813538250489,0,0,0,0
1019.0,27294.0,77465.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.072,20,3,30,0.2,12,482.756855493634,480.01685745181265,482.8983007299569,478.9074833138658,482.80603357497176,479.55440793477214,0,0,0,0
1020.0,27294.0,77465.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.129,20,3,30,0.2,12,480.437471238854,476.2849941960378,480.33883103386796,475.73014111521087,481.0292960418977,476.88146683532676,0,0,0,0
1021.0,27294.0,77465.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.186,20,3,30,0.2,12,476.88572536238814,472.54512701970924,477.5680387072947,472.8170431075819,478.53703714089824,473.7719972602854,0,0,0,0
1022.0,27294.0,77465.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.243,20,3,30,0.2,12,472.8216955934617,469.1150678139169,474.1624108332536,470.05901132785345,475.4366077147146,471.30026325229375,0,0,0,0
1023.0,27294.0,77465.0,0.15,0.015,0.0013698630136986,-1.0,-3.0,10.0,0.375,0.3,20,3,30,0.2,12,468.6076353834254,465.9377556993225,471.25724983354235,468.7345180958734,472.64980731817315,468.4306229415672,0,0,0,0
