ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,NightsperWINDOW,NumofWINDOW,dataLOSSfrac,OBSperiod,WINDOWwidth
1078.0,27854.0,10042.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.5,14
1079.0,15607.0,67963.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.5,21
1080.0,15180.0,5500.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.5,28
1081.0,90061.0,10742.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.5,35
1082.0,33805.0,74143.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.5,42
1083.0,56971.0,99442.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.5,49
1084.0,99044.0,86385.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.5,56
1085.0,46934.0,35047.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.5,63
1086.0,32004.0,5817.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.5,70
1087.0,46909.0,15829.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.5,77
1088.0,96887.0,14006.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.5,84
1089.0,56811.0,71822.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.5,91
1090.0,66483.0,88590.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,7
1091.0,243.0,64345.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,14
1092.0,52307.0,61467.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,21
1093.0,14079.0,81501.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,28
1094.0,99552.0,46368.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,35
1095.0,43097.0,17101.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,42
1096.0,79135.0,62715.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,49
1097.0,14778.0,53239.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,56
1098.0,53853.0,8329.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,63
1099.0,53217.0,80657.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,70
1100.0,3100.0,82732.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,77
1101.0,18168.0,83591.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,84
1102.0,28863.0,31300.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,91
1103.0,60580.0,67444.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,3.75,98
1104.0,27980.0,2100.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,7
1105.0,68411.0,7257.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,14
1106.0,8489.0,8311.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,21
1107.0,78821.0,70736.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,28
1108.0,84283.0,61156.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,35
1109.0,39348.0,87745.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,42
1110.0,10101.0,60831.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,49
1111.0,41223.0,55481.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,56
1112.0,48690.0,1396.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,63
